分类,状态量,状态描述,诊断分析,检修决策,报告名称
输电线路,nan,故障,[],"('需停电处理', 'B类修检', [])",1-江苏-220千伏桃晓2571线#26塔耐张线夹发热
输电线路,绝缘子,绝缘子故障,"['巡视人员根据放电痕迹及周围环境进行故障原因分析B相绝缘子于2011年4月份投运', '220kV丰铁线#11塔中相绝缘子放电现象', '鸟粪造成中相绝缘子上均压罩和下均压环之间的空气间隙短路放电220kV丰铁线#11中相绝缘子下均压环放电痕迹220kV丰铁线#11中相绝缘子上均压罩放电痕迹220kV丰铁线#11中相绝缘子伞裙闪络痕迹220kV丰铁线#11中相绝缘子整体情况220kV丰铁线#11塔身曲臂处鸟粪情况按照《山东电力集团公司十八项电网重大反事故措施》', '登塔检查人员发现220kV丰铁线#11塔中相绝缘子上均压罩和下均压环有放电痕迹', '绝缘子伞裙有轻微闪络痕迹', '上均压罩、下均压环、绝缘子和导线上均有鸟粪']","('需停电处理', 'C类修检', ['需要进一步加大防鸟害措施。加强运行管理', '对鸟粪污染和表面脏污的绝缘子安排清扫或更换'])",1-泰安-220kV丰铁线故障分析报告-重合闸未投-鸟害-20160105
输电线路,绝缘子,绝缘子故障,"['牟北线#146受损绝缘子均压环', '发现牟北线侧中相合成绝缘子下均压环有烧伤穿孔']","('需停电处理', 'C类修检', [])",1-烟台-220kV牟北线故障分析报告-重合不成-其他-20150105
输电线路,杆塔,杆塔故障,"['巡检人员判断#53、#54号杆塔发生故障的几率较高', '降水量700mm～900mm2、杆塔横担绝缘子挂点上方已安装防鸟刺2月17日', '线路杆塔上无鸟巢等异物']","('需停电处理', 'B类修检', ['输电线路防鸟害仅采用了安装防鸟刺单一措施', '及时清除杆塔上的鸟巢', '降低鸟害故障发生组织对输电线路沿线环境进行一次专项排查', '采取加装超声波驱鸟器等综合措施', '计划在同塔双回线路下相绝缘子正上方、中相横担处加装防鸟刺'])",10-烟台-220千伏阳古一线事故分析报告-重合成功-鸟害-20160217
输电线路,nan,故障,"['220kV堂庞线#61-77位于苗圃区', '周边飞鸟较多事故当天有两位村民在#68-69线下支网捕鸟', '其中一人站在坟茔上支立捕鸟网', '致使对上方A相导线安全距离不足', '，由同伴及亲属送医院抢救1、3月9日上午', '由同伴及亲属送医院抢救1、3月9日上午', '聊城公司张勇副总经理召集运检部、安质部、输电运检室、送变电分公司及属地单位冠县公司召开现场会', '分析总结了春季输电线路运行及防护特点', '要求运维单位、属地单位和建设单位共同行动起来', '逐步对其他线路水泥杆地段进行升高改造', '220kV堂庞线于2008年5月27日投运', '起于220kV中华电厂', '终止于220kV庞庄站', '，共86基杆塔', '，水泥杆比例为41.9%故障点位于#68-69档', '水泥杆比例为41.9%故障点位于#68-69档', '#68杆为直线水泥杆', '#69杆为直线水泥杆', '该段线路为农田、苗圃区', '至19时25分未发现明显异常随即运行人员在#68-69线下一座坟茔处发现事故点', '现场枯草可见明显燃烧痕迹并散有零星衣服烧伤碎片', '正上方导线可见明显放电痕迹', '']","('需停电处理', 'B类修检', ['通过采取村委广播通知、发放宣传单、张贴温馨提示卡等方式加强安全知识宣传', '提升群众的护线觉悟及安全意识3、对公司输电线路跨越公路、林区、池塘、空旷场地等地段进行全面梳理排查', '并做定期维护。加强春季线路巡视力度'])",10-聊城-220kV堂庞线故障分析报告-重合成功-外力破坏-异物短路-20150308
输电线路,套管,套管故障,"['发现10kV线路出线套管处电缆与套管接线板温度异常并对该套管进行了精确测温', '并将此情况上报运检部对图谱的认真分析后发现10kV线路出线A相套管端部温度异常']","('需停电处理', 'B类修检', ['经分析后确认为紧固螺栓松动且电缆接线端子受力变形与接线板接触面减小造成过热一是导线与金具为螺栓连接', '我公司从多年来处理过的各类过热缺陷中发现导致接头过热的主要原因有以下几点'])",10-黑龙江-红外热像检测发现10kV线路出线套管过热
输电线路,导线,导线故障,['大棚上方的导线表面及部分钢管表面可见明显的放电痕迹'],"('需停电处理', 'A类修检', ['班组长没有定期开展隐患点的现场督导、没有坚持管控好排查人员的工作质量1、对公司输电线路跨越大棚区、简易厂房区等地段开展集中梳理排查', '查找类似施工隐患', '及时跟进治理加强对乡民的护线宣传力度', '增强其自主防护意识2、加强施工隐患点的治理力度', '改变以往定期到位排查的模式', '一律定专人全天候现场监护。加强人员责任心管理', '加强属地护线和社会护线队伍的培训管理'])",101-聊城-220千伏堂庞线跳闸事故分析-重合不成-外力破坏-违章施工-20160822
输电线路,绝缘子,放电均压环螺栓松,"['针对发生沿面闪络的绝缘子', '输电运检室已提报带电作业中心申请进行更换由于故障点周边均为农田', '发现#19左相绝缘子上端均压环、下端悬式线夹及杆塔接地导体均有明显放电痕迹', '绝缘子正下方地面花生叶上有少量鸟粪痕迹', '故分析确认故障原因为唐宋线#19杆绝缘子因鸟粪发生沿面闪络引起跳闸']","('需停电处理', 'C类修检', ['导致绝缘子沿面闪络引起跳闸。暴露了前期防鸟刺的安装数量、质量、工艺标准粗糙', '及时上报清除', '坚决清理一处', '对鸟害多发区进行视频监控装置的加装', '尤其加强绝缘子表面脏污情况巡视', '积极开展绝缘子抽检工作'])",106-青岛-220kV唐宋线9月1日鸟害故障分析报告-重合成功-鸟害-20160901
输电线路,杆塔,杆塔故障,"['烟台供电公司公司制定了以220kV霞万一线#56和#68杆塔为中心', '巡检人员判断#58、#64、#70号杆塔发生故障的几率较高', '故障杆塔整体图、、、、、所示图4现场附近全部为丘陵或平原', '线路杆塔每支跳线串上方安装有防鸟刺2支', '输电运检室在该段线路的每支直线杆塔绝缘子和耐张杆塔跳线串上方均加装了2支防鸟刺', '但没有有效的避免鸟粪闪络220kV霞万一线直线杆塔合成绝缘子上方已全部加装2支防鸟刺', '属于国网山东电力公司烟台供电公司资产故障段始于#46杆塔']","('需停电处理', 'B类修检', [])",108-烟台-220kV霞万一线9月3日鸟害故障分析报告-重合成功-鸟害-20160903
输电线路,nan,故障,"['表2根据故障测距数据', '制定了以220kV云泉线15#杆塔为中心', '在12#～25#区段分4组进行巡视的巡检方案由故障录波图可以看出', '故障发生时间为2016年3月3日1时28分', '与调度通知时间基本相同', '，故障后一个周波内', '，故障相一次电压由故障前的132千伏下降到109.91千伏', '故障相一次电压由故障前的132千伏下降到109.91千伏', '，故障相一次电流由故障前的0.12千安上升到6.304千安', '故障相一次电流由故障前的0.12千安上升到6.304千安', '电流上升52倍综上所述', '此次跳闸的保护动作表现为直接接地性质综合考虑故障区段的地理特征、气候特征、故障期间的现场情况等', '结合故障录波信息、放电痕迹等', '排除线路发生其他故障的可能性', '初步确定是外破故障根据导线放电痕迹', '确认故障点线路下方为料场', '运维人员已对本料场下达线路危及通知书、埋设警示标志', '且本料场目前已处于停工状态线路东侧500米至2公里有8个石料场近年来', '潍坊地区温室大棚、苗圃、违章建筑等施工作业呈现高发态势', '且散布范围广、偶发性强', '给输电线路防外力破坏工作带来很大挑战', '，220kV云泉线发生一次因吊车吊装路灯碰触导线引起的线路跳闸。2015年以来', '220kV云泉线发生一次因吊车吊装路灯碰触导线引起的线路跳闸', '潍坊公司通过加强护线宣传、建立危险点档案、对重点防护区段加装在线监测装置、安装大型警示标志等措施', '输电线路防外破取得了一定效果', '但依然存在盲点和薄弱环节', '220kV云泉线由220kV泉安线开断进云湖站形成', '全长11.601km', '，运维单位是潍坊供电公司输电运检室', '运维单位是潍坊供电公司输电运检室', '设计覆冰厚度、设计风速分别为10mm、15m/s故障区段始于14#杆塔', '止于15#杆塔故障区段主要地形为平地', '现场位置信息为石料场', '周边治安情况良好气候类型为温带季风气候', '常年主导风为南、北风', '风速为4m/s故障区段中的14#、15#杆均为水泥杆', '，已运行19年', '，14#-15#跨越石料场小土路', '14#-15#跨越石料场小土路', '导线对地距离10米当日2时45分至6时50分', '各组陆续抵达故障区段并开展故障巡视；因夜晚视野影响', '，巡视人员在14#-15#杆塔档内根据导线、地面的放电痕迹', '巡视人员在14#-15#杆塔档内根据导线、地面的放电痕迹', '确认此处为故障点当日现场巡视时', '，南风', '，风速为5m/s', '，气温在8℃～10℃间', '气温在8℃～10℃间', '相对湿度为56%RH现场地形以平地为主', '，线路北侧有一个个石料场并', '线路北侧有一个个石料场并', '东侧500米至2公里有8个石料场', '线下土路为东侧采石场必经之路故障区段导线、钢芯股数分别为54股、7股,现场巡视发现导线外层铝导线断5股', '']","('需停电处理', 'B类修检', ['综合分析确定线路跳闸原因为大型翻斗车夜间路过时翻斗未放下引起的线路跳闸1、防外破危险点防控还存在盲点和薄弱环节。排查统计旧线路交叉跨越隐患', '采取安装爆闪灯、加装限高栏杆等措施', '大棚膜治理、特种车辆排查。对输电线路防外破危险点防控缺乏预判机制3、线路防护宣传工作有待进一步加强2、全面梳理输电线路防外破危险点档案', '管控固定隐患', '做到防患于未然3、加大线路通道隐患排查力度缩短对线路通道附近的石料场、垃圾堆、苗圃等危险点巡视周期', '尽最大可能防止隐患发展成事故。结合维修项目', '及时对交跨距离不足的老旧水泥杆塔进行加高改造'])",11-潍坊-220kV云泉线3月3日故障分析报告-重合不成-外力破坏-违章施工-20160303
